=== HISTOGRAMA DE FREQUÊNCIA PERCENTUAL ===

Número     | Frequência (%) | Gráfico
--------------------------------------------------
0          | 1.30         | ***
1          | 0.60         | *
2          | 1.10         | **
3          | 1.00         | **
4          | 0.50         | *
5          | 0.50         | *
6          | 0.90         | **
7          | 1.40         | ***
8          | 0.80         | **
9          | 1.10         | **
10         | 0.70         | *
11         | 0.50         | *
12         | 0.80         | **
13         | 1.00         | **
14         | 1.00         | **
15         | 0.80         | **
16         | 0.90         | **
17         | 1.20         | **
18         | 0.80         | **
19         | 1.40         | ***
20         | 1.10         | **
21         | 0.40         | *
22         | 1.40         | ***
23         | 1.30         | ***
24         | 0.90         | **
25         | 1.50         | ***
26         | 0.50         | *
27         | 1.10         | **
28         | 1.20         | **
29         | 1.60         | ***
30         | 1.30         | ***
31         | 1.40         | ***
32         | 1.10         | **
33         | 1.10         | **
34         | 0.40         | *
35         | 1.40         | ***
36         | 1.20         | **
37         | 1.20         | **
38         | 1.00         | **
39         | 1.40         | ***
40         | 1.10         | **
41         | 0.90         | **
42         | 1.20         | **
43         | 1.50         | ***
44         | 0.60         | *
45         | 0.50         | *
46         | 1.10         | **
47         | 1.40         | ***
48         | 1.00         | **
49         | 0.70         | *
50         | 0.50         | *
51         | 0.80         | **
52         | 0.20         | 
53         | 0.90         | **
54         | 1.10         | **
55         | 1.10         | **
56         | 0.60         | *
57         | 1.00         | **
58         | 0.70         | *
59         | 1.10         | **
60         | 1.10         | **
61         | 0.40         | *
62         | 1.40         | ***
63         | 1.00         | **
64         | 0.40         | *
65         | 0.50         | *
66         | 1.10         | **
67         | 1.00         | **
68         | 1.20         | **
69         | 0.90         | **
70         | 1.10         | **
71         | 1.70         | ***
72         | 0.70         | *
73         | 1.00         | **
74         | 0.70         | *
75         | 0.50         | *
76         | 1.10         | **
77         | 0.90         | **
78         | 1.00         | **
79         | 1.00         | **
80         | 1.30         | ***
81         | 0.80         | **
82         | 1.30         | ***
83         | 1.10         | **
84         | 1.40         | ***
85         | 1.10         | **
86         | 0.90         | **
87         | 1.50         | ***
88         | 1.00         | **
89         | 0.80         | **
90         | 0.80         | **
91         | 1.30         | ***
92         | 1.30         | ***
93         | 1.10         | **
94         | 0.80         | **
95         | 1.10         | **
96         | 0.90         | **
97         | 2.00         | ****
98         | 0.90         | **
99         | 1.10         | **
